% Model:              hppc_creat.mph
% Version:            COMSOL 6.0.0.318
% Date:               Nov 13 2023, 11:17
% Table:              表格 3 - 全局计算 2
% SOC                    Time (s)                 comp1.pw1(t)*I_1C (A)    Ecell (V)
0.8                      0.7000000000000001       0                        4.077549455754314
0.8                      0.8                      0                        4.077549455754313
0.8                      0.9                      0                        4.077549455754313
0.8                      1                        0                        4.077549455754313
0.8                      1.1                      0                        4.077549455754313
0.8                      1.2000000000000002       0                        4.077549455754313
0.8                      1.3                      0                        4.077549455754313
0.8                      1.4000000000000001       0                        4.077549455754313
0.8                      1.5                      0                        4.077549455754312
0.8                      1.6                      0                        4.077549455754313
0.8                      1.7000000000000002       0                        4.077549455754313
0.8                      1.8                      0                        4.077549455754313
0.8                      1.9000000000000001       0                        4.077549455754313
0.8                      2                        13.55                    4.058948021770531
0.8                      2.1                      27.1                     4.039761575027912
0.8                      2.2                      27.1                     4.038937526698999
0.8                      2.3000000000000003       27.1                     4.038360341210767
0.8                      2.4000000000000004       27.1                     4.037875003739909
0.8                      2.5                      27.1                     4.037446907823937
0.8                      2.6                      27.1                     4.037057864103582
0.8                      2.7                      27.1                     4.03669738935241
0.8                      2.8000000000000003       27.1                     4.036358928167284
0.8                      2.9000000000000004       27.1                     4.036032948183474
0.8                      3                        27.1                     4.035721422781226
0.8                      3.1                      27.1                     4.035423228670004
0.8                      3.2                      27.1                     4.035136649399072
0.8                      3.3000000000000003       27.1                     4.034860105490129
0.8                      3.4000000000000004       27.1                     4.0345923000319575
0.8                      3.5                      27.1                     4.034332197354269
0.8                      3.6                      27.1                     4.0340789687221825
0.8                      3.7                      27.1                     4.033831942596231
0.8                      3.8000000000000003       27.1                     4.033590566467134
0.8                      3.9000000000000004       27.1                     4.033354378996698
0.8                      4                        27.1                     4.033122989820152
0.8                      4.1000000000000005       27.1                     4.032896064747139
0.8                      4.2                      27.1                     4.032673314732083
0.8                      4.3                      27.1                     4.0324544875037365
0.8                      4.4                      27.1                     4.03223936110311
0.8                      4.5                      27.1                     4.032027738818212
0.8                      4.6000000000000005       27.1                     4.031819445160583
0.8                      4.7                      27.1                     4.03161432262965
0.8                      4.800000000000001        27.1                     4.031412229087084
0.8                      4.9                      27.1                     4.031213035604961
0.8                      5                        27.1                     4.031016624687444
0.8                      5.1000000000000005       27.1                     4.0308228887900635
0.8                      5.2                      27.1                     4.030631729075552
0.8                      5.300000000000001        27.1                     4.03044305429105
0.8                      5.4                      27.1                     4.03025677995154
0.8                      5.5                      27.1                     4.030072827552964
0.8                      5.6000000000000005       27.1                     4.029891123995066
0.8                      5.7                      27.1                     4.029711600951104
0.8                      5.800000000000001        27.1                     4.02953419444508
0.8                      5.9                      27.1                     4.0293588443450785
0.8                      6                        27.1                     4.029185494091565
0.8                      6.1000000000000005       27.1                     4.029014090284428
0.8                      6.2                      27.1                     4.028844582472694
0.8                      6.300000000000001        27.1                     4.028676922827256
0.8                      6.4                      27.1                     4.028511065982826
0.8                      6.5                      27.1                     4.028346968805935
0.8                      6.6000000000000005       27.1                     4.028184590206137
0.8                      6.7                      27.1                     4.028023891016658
0.8                      6.800000000000001        27.1                     4.0278648338151095
0.8                      6.9                      27.1                     4.027707382790543
0.8                      7                        27.1                     4.0275515036856895
0.8                      7.1000000000000005       27.1                     4.027397163618424
0.8                      7.2                      27.1                     4.027244331016882
0.8                      7.300000000000001        27.1                     4.027092975564287
0.8                      7.4                      27.1                     4.0269430680651315
0.8                      7.5                      27.1                     4.02679458038855
0.8                      7.6000000000000005       27.1                     4.026647485451189
